_id,location[0],location[1],up,down,left,right,valid,_class
1,1,1,15,0,0,2,1,com.example.demo.entity.Road
2,2,1,16,0,1,3,0,com.example.demo.entity.Road
3,3,1,17,0,2,4,0,com.example.demo.entity.Road
4,4,1,18,0,3,5,0,com.example.demo.entity.Road
5,5,1,19,0,4,6,0,com.example.demo.entity.Road
6,6,1,20,0,5,7,0,com.example.demo.entity.Road
7,7,1,21,0,6,8,0,com.example.demo.entity.Road
8,8,1,22,0,7,9,0,com.example.demo.entity.Road
9,9,1,23,0,8,10,0,com.example.demo.entity.Road
10,10,1,24,0,9,11,0,com.example.demo.entity.Road
11,11,1,25,0,10,12,0,com.example.demo.entity.Road
12,12,1,26,0,11,13,0,com.example.demo.entity.Road
13,13,1,27,0,12,14,0,com.example.demo.entity.Road
14,14,1,28,0,13,0,0,com.example.demo.entity.Road
15,1,2,29,1,0,16,1,com.example.demo.entity.Road
16,2,2,30,2,15,17,0,com.example.demo.entity.Road
17,3,2,31,3,16,18,0,com.example.demo.entity.Road
18,4,2,32,4,17,19,0,com.example.demo.entity.Road
19,5,2,33,5,18,20,0,com.example.demo.entity.Road
20,6,2,34,6,19,21,0,com.example.demo.entity.Road
21,7,2,35,7,20,22,0,com.example.demo.entity.Road
22,8,2,36,8,21,23,0,com.example.demo.entity.Road
23,9,2,37,9,22,24,0,com.example.demo.entity.Road
24,10,2,38,10,23,25,0,com.example.demo.entity.Road
25,11,2,39,11,24,26,0,com.example.demo.entity.Road
26,12,2,40,12,25,27,0,com.example.demo.entity.Road
27,13,2,41,13,26,28,0,com.example.demo.entity.Road
28,14,2,42,14,27,0,0,com.example.demo.entity.Road
29,1,3,43,15,0,30,1,com.example.demo.entity.Road
30,2,3,44,16,29,31,0,com.example.demo.entity.Road
31,3,3,45,17,30,32,0,com.example.demo.entity.Road
32,4,3,46,18,31,33,0,com.example.demo.entity.Road
33,5,3,47,19,32,34,0,com.example.demo.entity.Road
34,6,3,48,20,33,35,0,com.example.demo.entity.Road
35,7,3,49,21,34,36,0,com.example.demo.entity.Road
36,8,3,50,22,35,37,0,com.example.demo.entity.Road
37,9,3,51,23,36,38,0,com.example.demo.entity.Road
38,10,3,52,24,37,39,0,com.example.demo.entity.Road
39,11,3,53,25,38,40,0,com.example.demo.entity.Road
40,12,3,54,26,39,41,0,com.example.demo.entity.Road
41,13,3,55,27,40,42,0,com.example.demo.entity.Road
42,14,3,56,28,41,0,1,com.example.demo.entity.Road
43,1,4,57,29,0,44,1,com.example.demo.entity.Road
44,2,4,58,30,43,45,0,com.example.demo.entity.Road
45,3,4,59,31,44,46,0,com.example.demo.entity.Road
46,4,4,60,32,45,47,0,com.example.demo.entity.Road
47,5,4,61,33,46,48,0,com.example.demo.entity.Road
48,6,4,62,34,47,49,0,com.example.demo.entity.Road
49,7,4,63,35,48,50,0,com.example.demo.entity.Road
50,8,4,64,36,49,51,0,com.example.demo.entity.Road
51,9,4,65,37,50,52,0,com.example.demo.entity.Road
52,10,4,66,38,51,53,0,com.example.demo.entity.Road
53,11,4,67,39,52,54,0,com.example.demo.entity.Road
54,12,4,68,40,53,55,0,com.example.demo.entity.Road
55,13,4,69,41,54,56,0,com.example.demo.entity.Road
56,14,4,70,42,55,0,1,com.example.demo.entity.Road
57,1,5,71,43,0,58,1,com.example.demo.entity.Road
58,2,5,72,44,57,59,0,com.example.demo.entity.Road
59,3,5,73,45,58,60,0,com.example.demo.entity.Road
60,4,5,74,46,59,61,0,com.example.demo.entity.Road
61,5,5,75,47,60,62,0,com.example.demo.entity.Road
62,6,5,76,48,61,63,0,com.example.demo.entity.Road
63,7,5,77,49,62,64,0,com.example.demo.entity.Road
64,8,5,78,50,63,65,0,com.example.demo.entity.Road
65,9,5,79,51,64,66,0,com.example.demo.entity.Road
66,10,5,80,52,65,67,0,com.example.demo.entity.Road
67,11,5,81,53,66,68,0,com.example.demo.entity.Road
68,12,5,82,54,67,69,0,com.example.demo.entity.Road
69,13,5,83,55,68,70,0,com.example.demo.entity.Road
70,14,5,84,56,69,0,1,com.example.demo.entity.Road
71,1,6,85,57,0,72,1,com.example.demo.entity.Road
72,2,6,86,58,71,73,0,com.example.demo.entity.Road
73,3,6,87,59,72,74,0,com.example.demo.entity.Road
74,4,6,88,60,73,75,0,com.example.demo.entity.Road
75,5,6,89,61,74,76,0,com.example.demo.entity.Road
76,6,6,90,62,75,77,0,com.example.demo.entity.Road
77,7,6,91,63,76,78,0,com.example.demo.entity.Road
78,8,6,92,64,77,79,0,com.example.demo.entity.Road
79,9,6,93,65,78,80,0,com.example.demo.entity.Road
80,10,6,94,66,79,81,0,com.example.demo.entity.Road
81,11,6,95,67,80,82,0,com.example.demo.entity.Road
82,12,6,96,68,81,83,0,com.example.demo.entity.Road
83,13,6,97,69,82,84,0,com.example.demo.entity.Road
84,14,6,98,70,83,0,1,com.example.demo.entity.Road
85,1,7,0,71,0,86,1,com.example.demo.entity.Road
86,2,7,0,72,85,87,1,com.example.demo.entity.Road
87,3,7,0,73,86,88,1,com.example.demo.entity.Road
88,4,7,0,74,87,89,1,com.example.demo.entity.Road
89,5,7,0,75,88,90,1,com.example.demo.entity.Road
90,6,7,0,76,89,91,1,com.example.demo.entity.Road
91,7,7,0,77,90,92,1,com.example.demo.entity.Road
92,8,7,0,78,91,93,1,com.example.demo.entity.Road
93,9,7,0,79,92,94,1,com.example.demo.entity.Road
94,10,7,0,80,93,95,1,com.example.demo.entity.Road
95,11,7,0,81,94,96,1,com.example.demo.entity.Road
96,12,7,0,82,95,97,1,com.example.demo.entity.Road
97,13,7,0,83,96,98,1,com.example.demo.entity.Road
98,14,7,0,84,97,0,1,com.example.demo.entity.Road
